tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	orientation_quality	result_quality	result_type	sample	site	specimens
134.4	This study			-46.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11a	sr11	
	This study	DE-SPEC	sample direction.		340.5	74.1	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr11a	sr11	sr11a1
76.4	This study			-60.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11b	sr11	
	This study	DE-SPEC	sample direction.		354.0	70.3	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr11b	sr11	sr11b1
126.4	This study			-72.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11c	sr11	
	This study	DE-SPEC	sample direction.		342.7	69.4	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr11c	sr11	sr11c1
125.4	This study			-61.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11d	sr11	
125.4	This study			-80.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11e	sr11	
	This study	DE-SPEC	sample direction.		341.4	73.4	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr11e	sr11	sr11e2
84.4	This study			-84.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11f	sr11	
	This study		sample direction.		136.6	9.4	1.0	0.0	1.0	p	n	0.0										DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-T		g	i	sr11f	sr11	sr11f1
156.4	This study			-91.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11g	sr11	
	This study	DE-SPEC	sample direction.		345.4	77.1	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr11g	sr11	sr11g2
115.4	This study			-80.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11h	sr11	
124.4	This study			-92.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11i	sr11	
	This study		sample direction.		77.1	0.8	1.0	0.0	1.0	p	n	0.0										DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF		g	i	sr11i	sr11	sr11i1
106.4	This study			-90.0									Igneous:Extrusive	Lava Flow					42.8418	Basalt	245.112	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr11j	sr11	
125.4	This study			-83.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12a	sr12	
	This study	DE-SPEC	sample direction.		15.4	46.8	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr12a	sr12	sr12a3
121.4	This study			-85.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12b	sr12	
	This study	DE-SPEC	sample direction.		14.9	45.0	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr12b	sr12	sr12b1
152.4	This study			-94.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12c	sr12	
	This study	DE-SPEC	sample direction.		16.2	47.9	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr12c	sr12	sr12c1
161.4	This study			-97.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12d	sr12	
151.4	This study			-84.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12e	sr12	
	This study	DE-SPEC	sample direction.		18.2	48.5	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr12e	sr12	sr12e1
149.4	This study			-91.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12f	sr12	
156.4	This study			-56.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12g	sr12	
154.4	This study			-58.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12h	sr12	
	This study	DE-SPEC	sample direction.		12.5	35.9	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr12h	sr12	sr12h1
160.4	This study			-30.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12i	sr12	
174.4	This study			-42.0									Igneous:Extrusive	Lava Flow					42.8657	Basalt	245.127	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr12j	sr12	
351.0	This study			-86.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-POM:SO-SUN	g	g	i	sr16a	sr16	
	This study	DE-SPEC	sample direction.		339.0	60.6	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr16a	sr16	sr16a1
9.5	This study			-84.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-POM:SO-SUN	g	g	i	sr16b	sr16	
	This study	DE-SPEC	sample direction.		356.9	67.5	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr16b	sr16	sr16b1
341.6	This study			-88.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-POM:SO-SUN	g	g	i	sr16c	sr16	
	This study	DE-SPEC	sample direction.		332.9	65.6	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr16c	sr16	sr16c1
1.0	This study			-59.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-POM:SO-SUN	g	g	i	sr16d	sr16	
	This study	DE-SPEC	sample direction.		347.0	67.4	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr16d	sr16	sr16d1
357.0	This study			-83.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-POM:SO-SUN	g	g	i	sr16e	sr16	
	This study	DE-SPEC	sample direction.		7.7	65.3	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	i	sr16e	sr16	sr16e1
351.8	This study			-83.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-POM:SO-SUN	g	g	i	sr16f	sr16	
	This study	DE-SPEC	sample direction.		342.2	65.5	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr16f	sr16	sr16f1
329.5	This study			-40.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-POM:SO-SUN	g	g	i	sr16g	sr16	
	This study	DE-SPEC	sample direction.		348.4	64.7	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	i	sr16g	sr16	sr16g2
3.5	This study			-84.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr16h	sr16	
23.6	This study			-81.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr16i	sr16	
311.3	This study			-79.0									Igneous:Extrusive	Lava Flow					42.92031	Basalt	244.923	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr16j	sr16	
348.7	This study			-85.0									Igneous:Extrusive	Lava Flow					42.56857	Basalt	245.701	FS-FD:SO-POM:SO-SUN	g	g	i	sr19a	sr19	
	This study		sample direction.		71.9	-0.9	1.0	0.0	1.0	p	n	0.0										DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF		g	i	sr19a	sr19	sr19a3
328.4	This study			-78.0									Igneous:Extrusive	Lava Flow					42.56857	Basalt	245.701	FS-FD:SO-POM:SO-SUN	g	g	i	sr19b	sr19	
	This study	DE-SPEC	sample direction.		169.6	-64.0	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	i	sr19b	sr19	sr19b3
319.2	This study			-94.0									Igneous:Extrusive	Lava Flow					42.56857	Basalt	245.701	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr19c	sr19	
12.2	This study			-82.0									Igneous:Extrusive	Lava Flow					42.56857	Basalt	245.701	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr19d	sr19	
11.1	This study			-80.0									Igneous:Extrusive	Lava Flow					42.56857	Basalt	245.701	FS-FD:SO-POM:SO-SUN	g	g	i	sr19e	sr19	
